ensembl ,gene ,log2FC,pvalue,padj,cell,timepoint
ENSG00000270069,RP6-99M1.2,1.771023849,0.000689706,0.109089174,HepG2,early
ENSG00000231903,AC079354.5,-1.697748983,0.000847163,0.113242759,HepG2,early
ENSG00000250406,RP13-539F13.3,-2.164954501,0.000843554,0.113242759,HepG2,early
ENSG00000273319,RP11-138A9.2,-1.532201625,0.000920099,0.117100542,HepG2,early
ENSG00000226913,BSN-AS2,1.93631196,0.000980155,0.119041186,HepG2,early
ENSG00000236404,RP11-125B21.2,-1.9205781,0.001014696,0.121159317,HepG2,early
ENSG00000236404,RP11-125B21.2,-1.9205781,0.001014696,0.121159317,HepG2,early
ENSG00000263080,RP11-485G7.5,-1.084929177,0.001069388,0.125103668,HuH7,early
ENSG00000267391,RP11-1151B14.3,-1.028374205,0.00112786,0.129269546,HuH7,early
ENSG00000257815,RP11-611E13.2,-1.376961352,0.001202137,0.133075577,HepG2,early
ENSG00000266402,SNORA76,1.067480253,0.001666847,0.134140733,HepG2,mid
ENSG00000257176,RP11-996F15.2,1.774710613,0.001309638,0.136805814,HepG2,early
ENSG00000259420,RP11-307C19.2,-1.642186166,0.001733762,0.137606816,HepG2,mid
ENSG00000259420,RP11-307C19.2,-1.642186166,0.001733762,0.137606816,HepG2,mid
ENSG00000235269,AL162759.1,1.648304967,0.001288202,0.139268718,HuH7,early
ENSG00000223791,UBE2E1-AS1,-1.723451534,0.001400644,0.139435118,HepG2,early
ENSG00000270605,RP5-1092A3.4,-1.447495798,0.001404641,0.139435118,HepG2,early
ENSG00000215068,AC025171.1,-1.634960995,0.001489025,0.141070486,HepG2,early
ENSG00000258548,LINC00645,1.010262976,0.001351818,0.142427921,HuH7,early
ENSG00000226900,RP11-432J24.5,-1.221858247,0.001975179,0.14746198,HepG2,mid
ENSG00000272870,RP11-798M19.6,-1.20582574,0.00141517,0.148182284,HuH7,early
ENSG00000244306,CTD-2314B22.3,-1.000859002,0.001815554,0.149663959,HepG2,early
ENSG00000233554,RP11-326F20.5,-1.577327694,0.001917052,0.15092958,HepG2,early
ENSG00000267123,CTD-2357A8.3,-1.6018263,0.001928029,0.15092958,HepG2,early
ENSG00000265758,RP11-595B24.1,-2.373576742,0.000458579,0.151594185,HepG2,late
ENSG00000266903,CTB-171A8.1,-1.009997541,0.002187367,0.154820128,HepG2,mid
ENSG00000266903,CTB-171A8.1,-1.009997541,0.002187367,0.154820128,HepG2,mid
ENSG00000231721,LINC-PINT,-1.054638241,0.002329912,0.156765715,HepG2,mid
ENSG00000231721,LINC-PINT,-1.054638241,0.002329912,0.156765715,HepG2,mid
ENSG00000246228,CASC8,-0.895715056,0.001626507,0.159482335,HuH7,early
ENSG00000246228,CASC8,-0.895715056,0.001626507,0.159482335,HuH7,early
ENSG00000228100,AC016912.3,1.612036018,0.002156144,0.15991317,HepG2,early
ENSG00000234647,RP11-503C24.4,1.510933312,0.002258634,0.163667717,HepG2,early
ENSG00000260604,RP1-140K8.5,1.067637839,0.002576904,0.164220279,HepG2,mid
